,Player,No. of Championships,mvp_count,WS/48,PPG,fmvp_count,G,MPG,RPG,APG,PER,BPM,VORP,No. of All Star Selections,All_NBA,SPG,BPG,midpoint,scaled_championships,scaled_reg_mvp,scaled_per,scaled_vorp,scaled_bpm,scaled_ws,scaled_all_star,scaled_ppg,scaled_gp,scaled_mpg,scaled_rpg,scaled_apg,scaled_fin_mvp,scaled_anba,scaled_spg,scaled_bpg,GOAT_SCORE
47,Kyrie Irving,1.0,0.0,0.1652,22.43,0.0,0.0,33.76,0.0,5.7,22.24,4.53,29.23,6.0,2.0,1.32,0.0,3000.0,0.14285714285714285,0.0,0.7968470082407739,0.21937856499549682,0.4913232104121475,0.6594810379241517,0.3157894736842105,0.7446879150066401,0.0,0.8210116731517509,0.0,0.5093833780160858,0.0,0.13333333333333333,0.4870848708487085,0.0,28.356547789310945
48,Andre Iguodala,3.0,0.0,0.1246,0.0,1.0,1122.0,33.24,0.0,4.32,0.0,2.25,39.99,1.0,0.0,1.49,0.0,2012.5,0.42857142857142855,0.0,0.0,0.3001350945661963,0.24403470715835138,0.49740518962075847,0.05263157894736842,0.0,0.6964618249534451,0.8083657587548638,0.0,0.386058981233244,0.16666666666666666,0.0,0.5498154981549815,0.0,28.28947692195501
49,Isiah Thomas,2.0,0.0,0.0,19.23,1.0,979.0,36.28,0.0,9.26,18.11,2.65,41.59,12.0,5.0,1.9,0.0,1988.0,0.2857142857142857,0.0,0.6488713722680043,0.3121435004503152,0.28741865509761383,0.0,0.631578947368421,0.6384462151394422,0.6076970825574177,0.8822957198443581,0.0,0.8275245755138516,0.16666666666666666,0.3333333333333333,0.7011070110701106,0.0,28.278731519145538
50,Dwight Howard,0.0,0.0,0.1729,16.8,0.0,1106.0,33.61,12.33,0.0,21.49,2.1,38.45,8.0,8.0,0.0,1.92,2012.5,0.0,0.0,0.7699749193837334,0.2885770039027319,0.22776572668112796,0.6902195608782434,0.42105263157894735,0.5577689243027888,0.6865301055245189,0.817363813229572,0.8908959537572255,0.0,0.0,0.5333333333333333,0.0,0.5485714285714285,27.77265093499297
51,Tracy McGrady,0.0,0.0,0.1523,19.6,0.0,938.0,32.68,0.0,4.44,22.13,5.2,55.66,7.0,7.0,1.21,0.86,2005.0,0.0,0.0,0.7929057685417413,0.41774241969378556,0.5639913232104121,0.6079840319361277,0.3684210526315789,0.650730411686587,0.5822470515207945,0.7947470817120622,0.0,0.39678284182305634,0.0,0.4666666666666667,0.44649446494464945,0.2457142857142857,27.254409952000934
52,Chris Webber,0.0,0.0,0.1318,20.68,0.0,0.0,37.12,9.78,4.24,20.94,3.43,42.08,5.0,5.0,1.44,1.44,2001.0,0.0,0.0,0.7502687208885706,0.31582107475232657,0.3720173535791757,0.5261477045908184,0.2631578947368421,0.6865869853917662,0.0,0.9027237354085602,0.7066473988439307,0.37890974084003576,0.0,0.3333333333333333,0.5313653136531366,0.41142857142857137,26.67356882295347
53,George Gervin,0.0,0.0,0.1568,25.09,0.0,1060.0,33.58,0.0,0.0,21.38,2.55,40.12,12.0,9.0,1.25,1.02,1981.5,0.0,0.0,0.7660336796847008,0.30111077754428095,0.27657266811279824,0.6259481037924152,0.631578947368421,0.8330013280212483,0.6579764121663563,0.8166342412451362,0.0,0.0,0.0,0.6,0.46125461254612543,0.2914285714285714,26.59182737528587
54,Dan Issel,0.0,0.0,0.1813,22.56,0.0,1218.0,34.31,9.14,0.0,21.37,2.28,33.95,7.0,5.0,0.0,0.0,1981.0,0.0,0.0,0.765675385166607,0.25480336235364753,0.24728850325379606,0.72375249500998,0.3684210526315789,0.7490039840637449,0.7560521415270018,0.834387159533074,0.6604046242774567,0.0,0.0,0.3333333333333333,0.0,0.0,26.522799784220087
55,Steve Kerr,5.0,0.0,0.1397,0.0,0.0,910.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,3000.0,0.7142857142857142,0.0,0.0,0.0,0.09002169197396961,0.5576846307385229,0.0,0.0,0.5648665425201738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.49679048558435
56,Kevin Love,1.0,0.0,0.1726,18.22,0.0,0.0,31.98,11.14,0.0,21.56,3.38,30.99,5.0,2.0,0.0,0.0,3000.0,0.14285714285714285,0.0,0.7724829810103906,0.2325878114680276,0.3665943600867678,0.6890219560878243,0.2631578947368421,0.6049136786188578,0.0,0.7777237354085603,0.8049132947976879,0.0,0.0,0.13333333333333333,0.0,0.0,26.4792923418139
