,Player,No. of Championships,mvp_count,WS/48,PPG,fmvp_count,MPG,RPG,APG,PER,BPM,VORP,No. of All Star Selections,All_NBA,SPG,BPG,Usg%,PTS,fmvp_pct,midpoint,scaled_cs,scaled_reg_mvp,scaled_per,scaled_ws,scaled_all_star,scaled_ppg,scaled_mpg,scaled_rpg,scaled_apg,scaled_fin_mvp,scaled_anba,scaled_pts,GOAT_SCORE
123,Nat Clifton,0.0,0.0,0.0,0.0,0.0,0.0,8.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1954.5,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.3591087811271298,0.0,0.0,0.0,0.0,2.54386631716907
124,Jim Washington,0.0,0.0,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3743993010048056,0.0,0.0,0.0,0.0,2.5047313237221496
125,Bob Kauffman,0.0,0.0,0.0,0.0,0.0,0.0,7.01,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.30624726955002185,0.0,0.0,0.0,0.0,2.4730799475753606
126,Woody Sauldsberry,0.0,0.0,0.0,0.0,0.0,0.0,7.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1962.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.3420707732634338,0.0,0.0,0.0,0.0,2.4298820445609435
127,Jim Chones,0.0,0.0,0.0,0.0,0.0,0.0,8.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1978.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3564875491480996,0.0,0.0,0.0,0.0,2.3849017038007863
128,Joe Graboski,0.0,0.0,0.0,0.0,0.0,0.0,8.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1955.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3525557011795544,0.0,0.0,0.0,0.0,2.358597640891219
129,Zaid Abdul-Aziz,0.0,0.0,0.0,0.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3516819571865444,0.0,0.0,0.0,0.0,2.352752293577982
130,Lloyd Neal,0.0,0.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33857579729139364,0.0,0.0,0.0,0.0,2.2650720838794234
131,Curtis Rowe,0.0,0.0,0.0,0.0,0.0,0.0,7.23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1975.5,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.3158584534731324,0.0,0.0,0.0,0.0,2.2545216251638274
132,Gar Heard,0.0,0.0,0.0,0.0,0.0,0.0,7.47,0.0,0.0,0.0,0.0,0.0,0.0,1.34,1.34,0.0,0.0,0.0,1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32634338138925295,0.0,0.0,0.0,0.0,2.1832372214941023
133,Tom Van Arsdale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14232.0,0.0,1971.5,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.45297431490499385,1.4027102344805011
134,Jack Marin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12541.0,0.0,1972.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.39915337852891564,1.1450284404796007
135,Cazzie Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12377.0,0.0,1972.5,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.3939336070530571,0.9923251626631747
136,Bobby Wanzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1953.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.7946428571428571
137,Carl Braun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1955.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.7654761904761904
